winner_tie,loser_tie,Winner Conference,Loser Conference,year,date,day,bowl_name,winner_points,loser_points,Winner 2024 Avg Attendance,Winner 2023 Avg Attendance,Winner 5 Yr Avg Attendance,Loser 2024 Avg Attendance,Loser 2023 Avg Attendance,Loser 5 Yr Avg Attendance,Winner Capacity %,Loser Capacity %
Texas,Colorado,SEC,Big 12,1975,1975-12-27,Sat,Bluebonnet Bowl,38,21,102386,101625,97565,52514,53180,47579,102,104
Houston,Tulane,Big 12,American,1973,1973-12-29,Sat,Bluebonnet Bowl,47,7,27423,36020,28369,23980,25021,19648,68,79
Colorado,Houston,Big 12,Big 12,1971,1971-12-31,Fri,Bluebonnet Bowl,29,17,52514,53180,47579,27423,36020,28369,104,68
Oklahoma,Alabama,SEC,SEC,1970,1970-12-31,Thu,Bluebonnet Bowl,24,24,83513,83741,83073,100077,100077,100091,104,100
Houston,Auburn,Big 12,SEC,1969,1969-12-31,Wed,Bluebonnet Bowl,36,7,27423,36020,28369,88043,88043,85924,68,100
Tennessee,Tulsa,SEC,American,1965,1965-12-18,Sat,Bluebonnet Bowl,27,6,101915,101915,93936,20411,20187,18170,100,68
Missouri,Georgia Tech,SEC,ACC,1962,1962-12-22,Sat,Bluebonnet Bowl,14,10,62621,60169,53367,38216,36290,39223,101,69
Texas,Alabama,SEC,SEC,1960,1960-12-17,Sat,Bluebonnet Bowl,3,3,102386,101625,97565,100077,100077,100091,102,100
Bowling Green,Fresno State,MAC,Mountain West,1991,1991-12-14,Sat,California Bowl,28,21,13358,13462,14145,40600,39969,35095,55,98
San Jose State,Central Michigan,Mountain West,MAC,1990,1990-12-08,Sat,California Bowl,48,24,16058,16804,15665,17752,16350,14608,87,58
Fresno State,Ball State,Mountain West,MAC,1989,1989-12-09,Sat,California Bowl,27,6,40600,39969,35095,9841,10771,10830,98,43
Fresno State,Western Michigan,Mountain West,MAC,1988,1988-12-10,Sat,California Bowl,35,30,40600,39969,35095,19217,17619,16560,98,63
Eastern Michigan,San Jose State,MAC,Mountain West,1987,1987-12-12,Sat,California Bowl,30,27,15489,16882,16025,16058,16804,15665,51,87
Fresno State,Bowling Green,Mountain West,MAC,1985,1985-12-14,Sat,California Bowl,51,7,40600,39969,35095,13358,13462,14145,98,55
Fresno State,Bowling Green,Mountain West,MAC,1982,1982-12-18,Sat,California Bowl,29,28,40600,39969,35095,13358,13462,14145,98,55
Toledo,San Jose State,MAC,Mountain West,1981,1981-12-19,Sat,California Bowl,27,25,21519,19675,19884,16058,16804,15665,82,87
Maryland,Syracuse,Big Ten,ACC,1985,1985-12-21,Sat,Cherry Bowl,35,18,36040,40314,36345,39130,34045,37308,69,79
Baylor,Wake Forest,Big 12,ACC,1948,1949-01-01,Sat,Dixie Bowl,20,7,42302,43388,44087,29737,30609,28645,93,94
Memphis,Florida Atlantic,American,American,2020,2020-12-23,Wed,Montgomery Bowl,25,10,24552,29782,31253,19500,18603,18553,39,65
California,Illinois,ACC,Big Ten,2019,2019-12-30,Mon,Redbox Bowl,35,20,39173,38684,39992,54750,49698,40166,62,90
Oregon,Michigan State,Big Ten,Big Ten,2018,2018-12-31,Mon,Redbox Bowl,7,6,59104,55895,53384,65307,70211,69959,109,87
Purdue,Arizona,Big Ten,Big 12,2017,2017-12-27,Wed,Redbox Bowl,38,35,59887,58248,55370,46747,47320,42279,97,83
Utah,Indiana,Big 12,Big Ten,2016,2016-12-28,Wed,Redbox Bowl,26,24,52962,52499,49833,48374,44589,44126,102,91
Nebraska,UCLA,Big Ten,Big Ten,2015,2015-12-26,Sat,Redbox Bowl,37,29,86900,86802,87599,46805,47951,46075,101,51
Stanford,Maryland,ACC,Big Ten,2014,2014-12-30,Tue,Redbox Bowl,45,21,26035,33219,34746,36040,40314,36345,51,69
Arizona State,Navy,Big 12,American,2012,2012-12-29,Sat,Redbox Bowl,62,28,48984,48301,47262,39825,30804,32300,87,117
Illinois,UCLA,Big Ten,Big Ten,2011,2011-12-31,Sat,Redbox Bowl,20,14,54750,49698,40166,46805,47951,46075,90,51
Nevada,Boston College,Mountain West,ACC,2010,2011-01-09,Sun,Redbox Bowl,20,13,17419,16998,17368,39839,36376,35734,64,89
Oregon State,Maryland,Pac-12,Big Ten,2007,2007-12-28,Fri,Redbox Bowl,21,14,35799,36969,33325,36040,40314,36345,100,69
Utah,Georgia Tech,Big 12,ACC,2005,2005-12-29,Thu,Redbox Bowl,38,10,52962,52499,49833,38216,36290,39223,102,69
Navy,New Mexico,American,Mountain West,2004,2004-12-30,Thu,Redbox Bowl,34,19,39825,30804,32300,16001,15982,15923,117,40
Boston College,Colorado State,ACC,Mountain West,2003,2003-12-31,Wed,Redbox Bowl,35,21,39839,36376,35734,33082,26509,26668,89,80
Utah,Arizona,Big 12,Big 12,1994,1994-12-27,Tue,Freedom Bowl,16,13,52962,52499,49833,46747,47320,42279,102,83
Tulsa,San Diego State,American,Mountain West,1991,1991-12-30,Mon,Freedom Bowl,28,17,20411,20187,18170,24770,24832,25347,68,70
Colorado State,Oregon,Mountain West,Big Ten,1990,1990-12-29,Sat,Freedom Bowl,32,31,33082,26509,26668,59104,55895,53384,80,109
Washington,Florida,Big Ten,SEC,1989,1989-12-30,Sat,Freedom Bowl,34,7,68865,68814,66220,90017,89587,85791,98,101
Washington,Colorado,Big Ten,Big 12,1985,1985-12-30,Mon,Freedom Bowl,20,17,68865,68814,66220,52514,53180,47579,98,104
Iowa,Texas,Big Ten,SEC,1984,1984-12-26,Wed,Freedom Bowl,55,17,69250,69250,67775,102386,101625,97565,100,102
Tennessee,Wisconsin,SEC,Big Ten,1981,1981-12-13,Sun,Garden State Bowl,28,21,101915,101915,93936,76057,75391,75328,100,100
Houston,Navy,Big 12,American,1980,1980-12-14,Sun,Garden State Bowl,35,0,27423,36020,28369,39825,30804,32300,68,117
Temple,California,American,ACC,1979,1979-12-15,Sat,Garden State Bowl,28,17,13919,13446,22023,39173,38684,39992,20,62
Arizona State,Rutgers,Big 12,Big Ten,1978,1978-12-16,Sat,Garden State Bowl,34,18,48984,48301,47262,48341,49251,42504,87,92
Baylor,Utah State,Big 12,Mountain West,1961,1961-12-09,Sat,Gotham Bowl,24,9,42302,43388,44087,16992,19282,19188,93,66
Louisiana Tech,Hawaii,C-USA,Mountain West,2018,2018-12-22,Sat,Hawaii Bowl,31,14,15999,15796,16733,12963,11251,14380,56,76
Fresno State,Houston,Mountain West,Big 12,2017,2017-12-24,Sun,Hawaii Bowl,33,27,40600,39969,35095,27423,36020,28369,98,68
San Diego State,Cincinnati,Mountain West,Big 12,2015,2015-12-24,Thu,Hawaii Bowl,42,7,24770,24832,25347,36615,38193,36030,70,96
Rice,Fresno State,American,Mountain West,2014,2014-12-24,Wed,Hawaii Bowl,30,6,18143,20542,20110,40600,39969,35095,38,98
Oregon State,Boise State,Pac-12,Mountain West,2013,2013-12-24,Tue,Hawaii Bowl,38,23,35799,36969,33325,37235,35867,34161,100,102
Tulsa,Hawaii,American,Mountain West,2010,2010-12-24,Fri,Hawaii Bowl,62,35,20411,20187,18170,12963,11251,14380,68,76
Notre Dame,Hawaii,Independent,Mountain West,2008,2008-12-24,Wed,Hawaii Bowl,49,21,77622,77622,76108,12963,11251,14380,100,76
Hawaii,Arizona State,Mountain West,Big 12,2006,2006-12-24,Sun,Hawaii Bowl,41,24,12963,11251,14380,48984,48301,47262,76,87
Hawaii,Houston,Mountain West,Big 12,2003,2003-12-25,Thu,Hawaii Bowl,54,48,12963,11251,14380,27423,36020,28369,76,68
Tulane,Hawaii,American,Mountain West,2002,2002-12-25,Wed,Hawaii Bowl,36,28,23980,25021,19648,12963,11251,14380,79,76
Michigan State,Washington State,Big Ten,Pac-12,2017,2017-12-28,Thu,Holiday Bowl,42,17,65307,70211,69959,22413,28023,27211,87,69
Minnesota,Washington State,Big Ten,Pac-12,2016,2016-12-27,Tue,Holiday Bowl,17,12,47467,48453,44743,22413,28023,27211,93,69
Texas Tech,Arizona State,Big 12,Big 12,2013,2013-12-30,Mon,Holiday Bowl,37,23,58623,54491,54643,48984,48301,47262,97,87
Baylor,UCLA,Big 12,Big Ten,2012,2012-12-27,Thu,Holiday Bowl,49,26,42302,43388,44087,46805,47951,46075,93,51
Texas,California,SEC,ACC,2011,2011-12-28,Wed,Holiday Bowl,21,10,102386,101625,97565,39173,38684,39992,102,62
Washington,Nebraska,Big Ten,Big Ten,2010,2010-12-30,Thu,Holiday Bowl,19,7,68865,68814,66220,86900,86802,87599,98,101
Nebraska,Arizona,Big Ten,Big 12,2009,2009-12-30,Wed,Holiday Bowl,33,0,86900,86802,87599,46747,47320,42279,101,83
Oregon,Oklahoma State,Big Ten,Big 12,2008,2008-12-30,Tue,Holiday Bowl,42,31,59104,55895,53384,52202,53891,53999,109,100
Texas,Arizona State,SEC,Big 12,2007,2007-12-27,Thu,Holiday Bowl,52,34,102386,101625,97565,48984,48301,47262,102,87
California,Texas A&M,ACC,SEC,2006,2006-12-28,Thu,Holiday Bowl,45,10,39173,38684,39992,102847,99234,100156,62,100
Oklahoma,Oregon,SEC,Big Ten,2005,2005-12-29,Thu,Holiday Bowl,17,14,83513,83741,83073,59104,55895,53384,104,109
Texas Tech,California,Big 12,ACC,2004,2004-12-30,Thu,Holiday Bowl,45,31,58623,54491,54643,39173,38684,39992,97,62
Washington State,Texas,Pac-12,SEC,2003,2003-12-30,Tue,Holiday Bowl,28,20,22413,28023,27211,102386,101625,97565,69,102
Kansas State,Arizona State,Big 12,Big 12,2002,2002-12-27,Fri,Holiday Bowl,34,27,51536,51957,49609,48984,48301,47262,103,87
Texas,Washington,SEC,Big Ten,2001,2001-12-28,Fri,Holiday Bowl,47,43,102386,101625,97565,68865,68814,66220,102,98
Oregon,Texas,Big Ten,SEC,2000,2000-12-29,Fri,Holiday Bowl,35,30,59104,55895,53384,102386,101625,97565,109,102
Kansas State,Washington,Big 12,Big Ten,1999,1999-12-29,Wed,Holiday Bowl,24,20,51536,51957,49609,68865,68814,66220,103,98
Arizona,Nebraska,Big 12,Big Ten,1998,1998-12-30,Wed,Holiday Bowl,23,20,46747,47320,42279,86900,86802,87599,83,101
Colorado State,Missouri,Mountain West,SEC,1997,1997-12-29,Mon,Holiday Bowl,35,24,33082,26509,26668,62621,60169,53367,80,101
Colorado,Washington,Big 12,Big Ten,1996,1996-12-30,Mon,Holiday Bowl,33,21,52514,53180,47579,68865,68814,66220,104,98
Kansas State,Colorado State,Big 12,Mountain West,1995,1995-12-29,Fri,Holiday Bowl,54,21,51536,51957,49609,33082,26509,26668,103,80
Michigan,Colorado State,Big Ten,Mountain West,1994,1994-12-30,Fri,Holiday Bowl,24,14,110548,109971,110235,33082,26509,26668,102,80
Hawaii,Illinois,Mountain West,Big Ten,1992,1992-12-30,Wed,Holiday Bowl,27,17,12963,11251,14380,54750,49698,40166,76,90
Oklahoma State,Wyoming,Big 12,Mountain West,1988,1988-12-30,Fri,Holiday Bowl,62,14,52202,53891,53999,21937,23163,21277,100,75
Iowa,Wyoming,Big Ten,Mountain West,1987,1987-12-30,Wed,Holiday Bowl,20,19,69250,69250,67775,21937,23163,21277,100,75
Iowa,San Diego State,Big Ten,Mountain West,1986,1986-12-30,Tue,Holiday Bowl,39,38,69250,69250,67775,24770,24832,25347,100,70
Arkansas,Arizona State,SEC,Big 12,1985,1985-12-22,Sun,Holiday Bowl,18,17,73392,65317,62914,48984,48301,47262,96,87
Texas Tech,Navy,Big 12,American,2003,2003-12-30,Tue,Houston Bowl,38,14,58623,54491,54643,39825,30804,32300,97,117
South Florida,Northern Illinois,American,MAC,2009,2010-01-02,Sat,International Bowl,27,3,31424,37944,34281,12162,9456,9327,47,51
Rutgers,Ball State,Big Ten,MAC,2007,2008-01-05,Sat,International Bowl,52,30,48341,49251,42504,9841,10771,10830,92,43
Cincinnati,Western Michigan,Big 12,MAC,2006,2007-01-06,Sat,International Bowl,27,24,36615,38193,36030,19217,17619,16560,96,63
Pittsburgh,Bowling Green,ACC,MAC,2013,2013-12-26,Thu,Little Caesars Bowl,30,27,53077,48122,46653,13358,13462,14145,77,55
Central Michigan,Western Kentucky,MAC,C-USA,2012,2012-12-26,Wed,Little Caesars Bowl,24,21,17752,16350,14608,13828,15710,15411,58,62
Purdue,Western Michigan,Big Ten,MAC,2011,2011-12-27,Tue,Little Caesars Bowl,37,32,59887,58248,55370,19217,17619,16560,97,63
Marshall,Ohio,Sun Belt,MAC,2009,2009-12-26,Sat,Little Caesars Bowl,21,17,23022,23198,22807,17641,19005,17423,60,73
Florida Atlantic,Central Michigan,American,MAC,2008,2008-12-26,Fri,Little Caesars Bowl,24,21,19500,18603,18553,17752,16350,14608,65,58
Purdue,Central Michigan,Big Ten,MAC,2007,2007-12-26,Wed,Little Caesars Bowl,51,48,59887,58248,55370,17752,16350,14608,97,58
Memphis,Akron,American,MAC,2005,2005-12-26,Mon,Little Caesars Bowl,38,31,24552,29782,31253,6374,7237,13021,39,21
Boston College,Toledo,ACC,MAC,2002,2002-12-26,Thu,Little Caesars Bowl,51,25,39839,36376,35734,21519,19675,19884,89,82
Toledo,Cincinnati,MAC,Big 12,2001,2001-12-29,Sat,Little Caesars Bowl,23,16,21519,19675,19884,36615,38193,36030,82,96
Marshall,Cincinnati,Sun Belt,Big 12,2000,2000-12-27,Wed,Little Caesars Bowl,25,14,23022,23198,22807,36615,38193,36030,60,96
Marshall,Louisville,Sun Belt,ACC,1998,1998-12-23,Wed,Little Caesars Bowl,48,29,23022,23198,22807,50863,51252,47415,60,83
Tulsa,Central Michigan,American,MAC,2016,2016-12-19,Mon,Miami Beach Bowl,55,10,20411,20187,18170,17752,16350,14608,68,58
Western Kentucky,South Florida,C-USA,American,2015,2015-12-21,Mon,Miami Beach Bowl,45,35,13828,15710,15411,31424,37944,34281,62,47
North Carolina,Temple,ACC,American,2019,2019-12-27,Fri,Military Bowl,55,13,47686,50095,48019,13919,13446,22023,94,20
Cincinnati,Virginia Tech,Big 12,ACC,2018,2018-12-31,Mon,Military Bowl,35,31,36615,38193,36030,65632,64733,61137,96,99
Navy,Virginia,American,ACC,2017,2017-12-28,Thu,Military Bowl,49,7,39825,30804,32300,38999,43293,42796,117,63
Wake Forest,Temple,ACC,American,2016,2016-12-27,Tue,Military Bowl,34,26,29737,30609,28645,13919,13446,22023,94,20
Navy,Pittsburgh,American,ACC,2015,2015-12-28,Mon,Military Bowl,44,28,39825,30804,32300,53077,48122,46653,117,77
Virginia Tech,Cincinnati,ACC,Big 12,2014,2014-12-27,Sat,Military Bowl,33,17,65632,64733,61137,36615,38193,36030,99,96
Marshall,Maryland,Sun Belt,Big Ten,2013,2013-12-27,Fri,Military Bowl,31,20,23022,23198,22807,36040,40314,36345,60,69
San Jose State,Bowling Green,Mountain West,MAC,2012,2012-12-27,Thu,Military Bowl,29,20,16058,16804,15665,13358,13462,14145,87,55
UCLA,Temple,Big Ten,American,2009,2009-12-29,Tue,Military Bowl,30,21,46805,47951,46075,13919,13446,22023,51,20
Wake Forest,Navy,ACC,American,2008,2008-12-20,Sat,Military Bowl,29,19,29737,30609,28645,39825,30804,32300,94,117
Georgia,Tulsa,SEC,American,1945,1946-01-01,Tue,Oil Bowl,20,6,93033,92746,92760,20411,20187,18170,100,68
Memphis,San Jose State,American,Mountain West,1971,1971-12-18,Sat,Pasadena Bowl,28,9,24552,29782,31253,16058,16804,15665,39,87
Boise State,Northern Illinois,Mountain West,MAC,2015,2015-12-23,Wed,Poinsettia Bowl,55,7,37235,35867,34161,12162,9456,9327,102,51
Navy,San Diego State,American,Mountain West,2014,2014-12-23,Tue,Poinsettia Bowl,17,16,39825,30804,32300,24770,24832,25347,117,70
Utah State,Northern Illinois,Mountain West,MAC,2013,2013-12-26,Thu,Poinsettia Bowl,21,14,16992,19282,19188,12162,9456,9327,66,51
San Diego State,Navy,Mountain West,American,2010,2010-12-23,Thu,Poinsettia Bowl,35,14,24770,24832,25347,39825,30804,32300,70,117
Utah,California,Big 12,ACC,2009,2009-12-23,Wed,Poinsettia Bowl,37,27,52962,52499,49833,39173,38684,39992,102,62
Utah,Navy,Big 12,American,2007,2007-12-20,Thu,Poinsettia Bowl,35,32,52962,52499,49833,39825,30804,32300,102,117
Navy,Colorado State,American,Mountain West,2005,2005-12-22,Thu,Poinsettia Bowl,51,30,39825,30804,32300,33082,26509,26668,117,80
Texas A&M,Georgia,SEC,SEC,1950,1950-12-09,Sat,Presidential Cup,40,20,102847,99234,100156,93033,92746,92760,100,100
Nevada,North Texas,Mountain West,American,1947,1948-01-01,Thu,Salad Bowl,13,6,17419,16998,17368,23022,17761,19634,64,74
Wake Forest,Oregon,ACC,Big Ten,2002,2002-12-30,Mon,Seattle Bowl,38,17,29737,30609,28645,59104,55895,53384,94,109
Georgia Tech,Stanford,ACC,ACC,2001,2001-12-27,Thu,Seattle Bowl,24,14,38216,36290,39223,26035,33219,34746,69,51
Georgia,Virginia,SEC,ACC,2000,2000-12-24,Sun,Seattle Bowl,37,14,93033,92746,92760,38999,43293,42796,100,63
Hawaii,Oregon State,Mountain West,Pac-12,1999,1999-12-25,Sat,Seattle Bowl,23,17,12963,11251,14380,35799,36969,33325,76,100
Northern Illinois,Troy,MAC,Sun Belt,2004,2004-12-30,Thu,Silicon Valley Bowl,34,21,12162,9456,9327,23630,27121,25032,51,77
Fresno State,UCLA,Mountain West,Big Ten,2003,2003-12-30,Tue,Silicon Valley Bowl,17,9,40600,39969,35095,46805,47951,46075,98,51
Fresno State,Georgia Tech,Mountain West,ACC,2002,2002-12-31,Tue,Silicon Valley Bowl,30,21,40600,39969,35095,38216,36290,39223,98,69
Michigan State,Fresno State,Big Ten,Mountain West,2001,2001-12-31,Mon,Silicon Valley Bowl,44,35,65307,70211,69959,40600,39969,35095,87,98
